ds,trend_x,yhat_lower_x,yhat_upper_x,trend_lower_x,trend_upper_x,additive_terms_x,additive_terms_lower_x,additive_terms_upper_x,weekly_x,weekly_lower_x,weekly_upper_x,multiplicative_terms_x,multiplicative_terms_lower_x,multiplicative_terms_upper_x,yhat_x,trend_y,yhat_lower_y,yhat_upper_y,trend_lower_y,trend_upper_y,additive_terms_y,additive_terms_lower_y,additive_terms_upper_y,weekly_y,weekly_lower_y,weekly_upper_y,multiplicative_terms_y,multiplicative_terms_lower_y,multiplicative_terms_upper_y,yhat_y
2020-03-03,21.54851815467411,-125191.49769246724,126057.74450856497,21.54851815467411,21.54851815467411,-1338.5346218798848,-1338.5346218798848,-1338.5346218798848,-1338.5346218798848,-1338.5346218798848,-1338.5346218798848,0.0,0.0,0.0,-1316.9861037252106,-5.463932220815916,-292.7280913375764,164.9045315601497,-5.463932220815916,-5.463932220815916,-48.898813953369924,-48.898813953369924,-48.898813953369924,-48.898813953369924,-48.898813953369924,-48.898813953369924,0.0,0.0,0.0,-54.36274617418584
2020-03-04,143.8848774497895,-120721.67182741845,122311.5604384746,143.8848774497895,143.8848774497895,-3239.984317755306,-3239.984317755306,-3239.984317755306,-3239.984317755306,-3239.984317755306,-3239.984317755306,0.0,0.0,0.0,-3096.0994403055165,-4.2639488960939715,-194.0806657162637,261.8361082802892,-4.2639488960939715,-4.2639488960939715,42.78292040549268,42.78292040549268,42.78292040549268,42.78292040549268,42.78292040549268,42.78292040549268,0.0,0.0,0.0,38.51897150939871
2020-03-05,266.2212367449054,-122824.19487820896,117023.43090245123,266.2212367449054,266.2212367449054,-2198.8428896437554,-2198.8428896437554,-2198.8428896437554,-2198.8428896437554,-2198.8428896437554,-2198.8428896437554,0.0,0.0,0.0,-1932.62165289885,-3.06396557137202,-228.18191419996967,249.40972616807926,-3.06396557137202,-3.06396557137202,16.917987730083635,16.917987730083635,16.917987730083635,16.917987730083635,16.917987730083635,16.917987730083635,0.0,0.0,0.0,13.854022158711615
2020-03-06,388.55759604002134,-108514.33058887426,120827.27669190834,388.55759604002134,388.55759604002134,-1302.936722219851,-1302.936722219851,-1302.936722219851,-1302.936722219851,-1302.936722219851,-1302.936722219851,0.0,0.0,0.0,-914.3791261798297,-1.863982246650062,-220.23622063971706,244.22685800423133,-1.863982246650062,-1.863982246650062,15.285470719428137,15.285470719428137,15.285470719428137,15.285470719428137,15.285470719428137,15.285470719428137,0.0,0.0,0.0,13.421488472778075
2020-03-07,510.89395533513675,-119822.92383851444,123498.22636705685,510.89395533513675,510.89395533513675,-958.622483254874,-958.622483254874,-958.622483254874,-958.622483254874,-958.622483254874,-958.622483254874,0.0,0.0,0.0,-447.7285279197373,-0.6639989219281178,-216.39322286981067,249.90109571885677,-0.6639989219281178,-0.6639989219281178,12.084601808006713,12.084601808006713,12.084601808006713,12.084601808006713,12.084601808006713,12.084601808006713,0.0,0.0,0.0,11.420602886078596
2020-03-08,633.2303146302527,-117734.07902248546,118395.22758989822,633.2303146302527,633.2303146302527,5213.883094103108,5213.883094103108,5213.883094103108,5213.883094103108,5213.883094103108,5213.883094103108,0.0,0.0,0.0,5847.113408733361,0.5359844027938334,-233.14631144127517,224.93017881046868,0.5359844027938334,0.5359844027938334,-7.898769791723691,-7.898769791723691,-7.898769791723691,-7.898769791723691,-7.898769791723691,-7.898769791723691,0.0,0.0,0.0,-7.362785388929858
2020-03-09,755.5666739253686,-112815.2518481358,117947.35512297222,755.5666739253686,755.5666739253686,3825.037940650243,3825.037940650243,3825.037940650243,3825.037940650243,3825.037940650243,3825.037940650243,0.0,0.0,0.0,4580.604614575612,1.7359677275157845,-260.41903754093477,183.82014873404432,1.7359677275157845,1.7359677275157845,-30.27339691754113,-30.27339691754113,-30.27339691754113,-30.27339691754113,-30.27339691754113,-30.27339691754113,0.0,0.0,0.0,-28.537429190025346
2020-03-10,877.9030332204844,-132595.38701597165,119916.19614681634,877.9030332204844,877.9030332204844,-1338.534621884737,-1338.534621884737,-1338.534621884737,-1338.534621884737,-1338.534621884737,-1338.534621884737,0.0,0.0,0.0,-460.6315886642525,2.9359510522377428,-275.7464589475124,188.25690336112464,2.9359510522377428,2.9359510522377428,-48.89881395333974,-48.89881395333974,-48.89881395333974,-48.89881395333974,-48.89881395333974,-48.89881395333974,0.0,0.0,0.0,-45.962862901102
2020-03-11,1000.2497644001659,-123766.16693514561,126417.20099917137,1000.2497644001659,1000.2497644001659,-3239.984317753411,-3239.984317753411,-3239.984317753411,-3239.984317753411,-3239.984317753411,-3239.984317753411,0.0,0.0,0.0,-2239.734553353245,4.135934378166169,-184.7868957619453,285.44039733351667,4.135934378166169,4.135934378166169,42.782920405517395,42.782920405517395,42.782920405517395,42.782920405517395,42.782920405517395,42.782920405517395,0.0,0.0,0.0,46.918854783683564
2020-03-12,1122.5964955798474,-123157.43833440931,119935.67745819184,1122.5964955798474,1122.5964955798474,-2198.8428896399987,-2198.8428896399987,-2198.8428896399987,-2198.8428896399987,-2198.8428896399987,-2198.8428896399987,0.0,0.0,0.0,-1076.2463940601513,5.335917704094602,-205.30208554629445,262.5818955794113,5.335917704094602,5.335917704094602,16.917987730005237,16.917987730005237,16.917987730005237,16.917987730005237,16.917987730005237,16.917987730005237,0.0,0.0,0.0,22.25390543409984
